[11-Nov-2021 09:47:01 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[19-Nov-2021 11:33:46 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[19-Nov-2021 11:44:00 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[19-Nov-2021 12:25:14 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[19-Nov-2021 12:25:25 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[19-Nov-2021 12:25:54 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[19-Nov-2021 12:26:23 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[19-Nov-2021 12:27:01 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[19-Nov-2021 12:27:21 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[23-Nov-2021 11:48:25 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[23-Nov-2021 11:48:59 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[23-Nov-2021 11:49:01 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[23-Nov-2021 11:49:59 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[23-Nov-2021 11:50:17 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:03:25 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:04:03 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:04:34 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:06:05 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:06:47 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:07:13 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:08:55 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:10:17 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:10:25 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
[24-Nov-2021 08:14:45 America/Argentina/Buenos_Aires] PHP Warning:  Declaration of RcivilWs::__soapCall($function_name, $arguments) should be compatible with SoapClient::__soapCall($function_name, $arguments, $options = NULL, $input_headers = NULL, &$output_headers = NULL) in /home/impsr/public_html/consulta/RcivilWs.php on line 0
